2KRank,PLAYER_NAME,Rating,season,PLAYER_ID
193,Mike Dunleavy,74,2014,2399
193,Mike Dunleavy,74,2015,2399
250,Mike Dunleavy,73,2016,2399
217,Drew Gooden,69,2012,2400
235,Drew Gooden,69,2013,2400
310,Drew Gooden,70,2014,2400
310,Drew Gooden,70,2015,2400
65,Nene,79,2012,2403
73,Nene,79,2013,2403
60,Nene,80,2014,2403
60,Nene,80,2015,2403
131,Nene,76,2016,2403
116,Nene,77,2017,2403
129,Nene,77,2018,2403
358,Nene,72,2020,2403
269,Chris Wilcox,66,2012,2404
28,Amar'e Stoudemire,84,2012,2405
47,Amar'e Stoudemire,82,2013,2405
112,Amar'e Stoudemire,77,2014,2405
112,Amar'e Stoudemire,77,2015,2405
49,Caron Butler,81,2012,2406
65,Caron Butler,80,2013,2406
137,Caron Butler,76,2014,2406
137,Caron Butler,76,2015,2406
419,Melvin Ely,60,2013,2408
114,Tayshaun Prince,75,2012,2419
145,Tayshaun Prince,74,2013,2419
165,Tayshaun Prince,75,2014,2419
165,Tayshaun Prince,75,2015,2419
156,John Salmons,73,2012,2422
173,John Salmons,72,2013,2422
235,John Salmons,73,2014,2422
235,John Salmons,73,2015,2422
251,Roger Mason Jr.,67,2012,2427
235,Roger Mason Jr.,69,2013,2427
79,Carlos Boozer,78,2012,2430
96,Carlos Boozer,77,2013,2430
156,Matt Barnes,73,2012,2440
161,Matt Barnes,73,2013,2440
137,Matt Barnes,76,2014,2440
137,Matt Barnes,76,2015,2440
203,Matt Barnes,74,2016,2440
419,Rasual Butler,60,2013,2446
65,Luis Scola,79,2012,2449
73,Luis Scola,79,2013,2449
112,Luis Scola,77,2014,2449
112,Luis Scola,77,2015,2449
203,Luis Scola,74,2016,2449
327,Jannero Pargo,65,2013,2457
395,Jannero Pargo,67,2014,2457
395,Jannero Pargo,67,2015,2457
307,Reggie Evans,63,2012,2501
288,Reggie Evans,67,2013,2501
193,Reggie Evans,74,2014,2501
193,Reggie Evans,74,2015,2501
1,LeBron James,98,2012,2544
1,LeBron James,99,2013,2544
1,LeBron James,98,2014,2544
1,LeBron James,98,2015,2544
1,LeBron James,96,2016,2544
1,LeBron James,97,2017,2544
1,LeBron James,98,2018,2544
1,LeBron James,97,2019,2544
1,LeBron James,97,2020,2544
8,Carmelo Anthony,92,2012,2546
4,Carmelo Anthony,93,2013,2546
5,Carmelo Anthony,89,2014,2546
5,Carmelo Anthony,89,2015,2546
15,Carmelo Anthony,88,2016,2546
42,Carmelo Anthony,84,2017,2546
75,Carmelo Anthony,79,2018,2546
119,Carmelo Anthony,78,2020,2546
40,Chris Bosh,82,2012,2547
29,Chris Bosh,84,2013,2547
31,Chris Bosh,84,2014,2547
31,Chris Bosh,84,2015,2547
24,Chris Bosh,86,2016,2547
5,Dwyane Wade,93,2012,2548
7,Dwyane Wade,91,2013,2548
23,Dwyane Wade,86,2014,2548
23,Dwyane Wade,86,2015,2548
20,Dwyane Wade,87,2016,2548
48,Dwyane Wade,82,2017,2548
75,Dwyane Wade,79,2018,2548
104,Chris Kaman,76,2012,2549
124,Chris Kaman,75,2013,2549
137,Chris Kaman,76,2014,2549
137,Chris Kaman,76,2015,2549
139,Kirk Hinrich,74,2012,2550
145,Kirk Hinrich,74,2013,2550
137,Kirk Hinrich,76,2014,2550
137,Kirk Hinrich,76,2015,2550
282,Nick Collison,65,2012,2555
373,Nick Collison,63,2013,2555
193,Nick Collison,74,2014,2555
193,Nick Collison,74,2015,2555
287,Nick Collison,72,2016,2555
377,Nick Collison,70,2017,2555
168,Luke Ridnour,72,2012,2557
215,Luke Ridnour,70,2013,2557
254,Luke Ridnour,72,2014,2557
254,Luke Ridnour,72,2015,2557
114,David West,75,2012,2561
56,David West,81,2013,2561
60,David West,80,2014,2561
60,David West,80,2015,2561
171,David West,75,2016,2561
206,David West,74,2017,2561
156,Dahntay Jones,73,2012,2563
269,Boris Diaw,66,2012,2564
390,Boris Diaw,62,2013,2564
83,Boris Diaw,78,2014,2564
83,Boris Diaw,78,2015,2564
203,Boris Diaw,74,2016,2564
251,Travis Outlaw,67,2012,2566
288,Travis Outlaw,67,2013,2566
328,Travis Outlaw,69,2014,2566
328,Travis Outlaw,69,2015,2566
233,Carlos Delfino,68,2012,2568
235,Carlos Delfino,69,2013,2568
310,Carlos Delfino,70,2014,2568
310,Carlos Delfino,70,2015,2568
168,Kendrick Perkins,72,2012,2570
215,Kendrick Perkins,70,2013,2570
193,Kendrick Perkins,74,2014,2570
193,Kendrick Perkins,74,2015,2570
114,Leandro Barbosa,75,2012,2571
196,Leandro Barbosa,71,2013,2571
395,Leandro Barbosa,67,2014,2571
395,Leandro Barbosa,67,2015,2571
250,Leandro Barbosa,73,2016,2571
256,Leandro Barbosa,73,2017,2571
269,Luke Walton,66,2012,2575
233,Steve Blake,68,2012,2581
235,Steve Blake,69,2013,2581
286,Steve Blake,71,2014,2581
286,Steve Blake,71,2015,2581
233,Willie Green,68,2012,2584
235,Willie Green,69,2013,2584
286,Willie Green,71,2014,2584
286,Willie Green,71,2015,2584
307,Zaza Pachulia,63,2012,2585
373,Zaza Pachulia,63,2013,2585
328,Zaza Pachulia,69,2014,2585
328,Zaza Pachulia,69,2015,2585
131,Zaza Pachulia,76,2016,2585
143,Zaza Pachulia,76,2017,2585
167,Zaza Pachulia,76,2018,2585
198,Keith Bogans,70,2012,2586
265,Keith Bogans,68,2013,2586
377,Matt Bonner,51,2012,2588
444,Matt Bonner,58,2013,2588
235,Matt Bonner,73,2014,2588
235,Matt Bonner,73,2015,2588
79,Mo Williams,78,2012,2590
88,Mo Williams,78,2013,2590
137,Mo Williams,76,2014,2590
137,Mo Williams,76,2015,2590
250,Mo Williams,73,2016,2590
353,James Jones,58,2012,2592
444,James Jones,58,2013,2592
328,James Jones,69,2014,2592
328,James Jones,69,2015,2592
378,James Jones,69,2016,2592
307,Kyle Korver,63,2012,2594
373,Kyle Korver,63,2013,2594
83,Kyle Korver,78,2014,2594
83,Kyle Korver,78,2015,2594
131,Kyle Korver,76,2016,2594
206,Kyle Korver,74,2017,2594
221,Kyle Korver,75,2018,2594
204,Kyle Korver,75,2019,2594
310,Kyle Korver,73,2020,2594
198,Udonis Haslem,70,2012,2617
215,Udonis Haslem,70,2013,2617
254,Udonis Haslem,72,2014,2617
254,Udonis Haslem,72,2015,2617
344,Udonis Haslem,70,2016,2617
377,Udonis Haslem,70,2017,2617
393,Udonis Haslem,70,2018,2617
469,Udonis Haslem,70,2020,2617
328,Justin Hamilton,69,2014,2636
328,Justin Hamilton,69,2015,2636
378,Justin Hamilton,69,2016,2636
314,Justin Hamilton,72,2017,2636
353,Matt Carroll,58,2012,2679
395,Josh Powell,67,2014,2694
395,Josh Powell,67,2015,2694
2,Dwight Howard,96,2012,2730
8,Dwight Howard,90,2013,2730
10,Dwight Howard,88,2014,2730
10,Dwight Howard,88,2015,2730
37,Dwight Howard,84,2016,2730
51,Dwight Howard,81,2017,2730
59,Dwight Howard,81,2018,2730
119,Dwight Howard,78,2020,2730
79,Emeka Okafor,78,2012,2731
96,Emeka Okafor,77,2013,2731
256,Emeka Okafor,73,2017,2731
300,Emeka Okafor,73,2018,2731
114,Ben Gordon,75,2012,2732
106,Ben Gordon,76,2013,2732
254,Ben Gordon,72,2014,2732
254,Ben Gordon,72,2015,2732
390,Shaun Livingston,62,2013,2733
193,Shaun Livingston,74,2014,2733
193,Shaun Livingston,74,2015,2733
131,Shaun Livingston,76,2016,2733
172,Shaun Livingston,75,2017,2733
221,Shaun Livingston,75,2018,2733
104,Devin Harris,76,2012,2734
106,Devin Harris,76,2013,2734
165,Devin Harris,75,2014,2734
165,Devin Harris,75,2015,2734
250,Devin Harris,73,2016,2734
256,Devin Harris,73,2017,2734
332,Devin Harris,72,2018,2734
265,Josh Childress,68,2013,2735
33,Luol Deng,83,2012,2736
37,Luol Deng,83,2013,2736
73,Luol Deng,79,2014,2736
73,Luol Deng,79,2015,2736
87,Luol Deng,78,2016,2736
256,Luol Deng,73,2017,2736
332,Luol Deng,72,2018,2736
13,Andre Iguodala,87,2012,2738
29,Andre Iguodala,84,2013,2738
44,Andre Iguodala,82,2014,2738
44,Andre Iguodala,82,2015,2738
48,Andre Iguodala,81,2016,2738
78,Andre Iguodala,79,2017,2738
129,Andre Iguodala,77,2018,2738
113,Andre Iguodala,78,2019,2738
177,Andre Iguodala,76,2020,2738
328,Andris Biedrins,61,2012,2740
373,Andris Biedrins,63,2013,2740
251,Sebastian Telfair,67,2012,2742
139,Kris Humphries,74,2012,2743
124,Kris Humphries,75,2013,2743
235,Kris Humphries,73,2014,2743
235,Kris Humphries,73,2015,2743
250,Kris Humphries,73,2016,2743
256,Kris Humphries,73,2017,2743
28,Al Jefferson,84,2012,2744
29,Al Jefferson,84,2013,2744
18,Al Jefferson,87,2014,2744
18,Al Jefferson,87,2015,2744
65,Al Jefferson,79,2016,2744
172,Al Jefferson,75,2017,2744
167,Al Jefferson,76,2018,2744
13,Josh Smith,87,2012,2746
19,Josh Smith,86,2013,2746
60,Josh Smith,80,2014,2746
60,Josh Smith,80,2015,2746
114,JR Smith,75,2012,2747
47,JR Smith,82,2013,2747
83,JR Smith,78,2014,2747
83,JR Smith,78,2015,2747
105,JR Smith,77,2016,2747
172,JR Smith,75,2017,2747
221,JR Smith,75,2018,2747
268,JR Smith,74,2020,2747
168,Dorell Wright,72,2012,2748
173,Dorell Wright,72,2013,2748
254,Dorell Wright,72,2014,2748
254,Dorell Wright,72,2015,2748
114,Jameer Nelson,75,2012,2749
106,Jameer Nelson,76,2013,2749
254,Jameer Nelson,72,2014,2749
254,Jameer Nelson,72,2015,2749
287,Jameer Nelson,72,2016,2749
206,Jameer Nelson,74,2017,2749
104,Delonte West,76,2012,2753
139,Tony Allen,74,2012,2754
124,Tony Allen,75,2013,2754
83,Tony Allen,78,2014,2754
83,Tony Allen,78,2015,2754
87,Tony Allen,78,2016,2754
92,Tony Allen,78,2017,2754
49,Kevin Martin,81,2012,2755
56,Kevin Martin,81,2013,2755
73,Kevin Martin,79,2014,2755
73,Kevin Martin,79,2015,2755
378,Sasha Vujacic,69,2016,2756
233,Beno Udrih,68,2012,2757
265,Beno Udrih,68,2013,2757
193,Beno Udrih,74,2014,2757
193,Beno Udrih,74,2015,2757
287,Beno Udrih,72,2016,2757
314,Beno Udrih,72,2017,2757
156,Anderson Varejao,73,2012,2760
106,Anderson Varejao,76,2013,2760
165,Anderson Varejao,75,2014,2760
165,Anderson Varejao,75,2015,2760
250,Anderson Varejao,73,2016,2760
366,Royal Ivey,54,2012,2767
461,Royal Ivey,53,2013,2767
217,Chris Duhon,69,2012,2768
265,Chris Duhon,68,2013,2768
104,Trevor Ariza,76,2012,2772
106,Trevor Ariza,76,2013,2772
83,Trevor Ariza,78,2014,2772
83,Trevor Ariza,78,2015,2772
105,Trevor Ariza,77,2016,2772
92,Trevor Ariza,78,2017,2772
108,Trevor Ariza,78,2018,2772
165,Trevor Ariza,76,2019,2772
268,Trevor Ariza,74,2020,2772
346,Damien Wilkins,64,2013,2863
65,Andrew Bogut,79,2012,101106
73,Andrew Bogut,79,2013,101106
60,Andrew Bogut,80,2014,101106
60,Andrew Bogut,80,2015,101106
105,Andrew Bogut,77,2016,101106
256,Andrew Bogut,73,2017,101106
261,Andrew Bogut,74,2018,101106
282,Marvin Williams,65,2012,101107
309,Marvin Williams,66,2013,101107
235,Marvin Williams,73,2014,101107
235,Marvin Williams,73,2015,101107
87,Marvin Williams,78,2016,101107
116,Marvin Williams,77,2017,101107
167,Marvin Williams,76,2018,101107
165,Marvin Williams,76,2019,101107
268,Marvin Williams,74,2020,101107
3,Chris Paul,94,2012,101108
3,Chris Paul,94,2013,101108
3,Chris Paul,91,2014,101108
3,Chris Paul,91,2015,101108
6,Chris Paul,91,2016,101108
9,Chris Paul,91,2017,101108
11,Chris Paul,90,2018,101108
40,Chris Paul,85,2019,101108
17,Chris Paul,88,2020,101108
139,Raymond Felton,74,2012,101109
73,Raymond Felton,79,2013,101109
193,Raymond Felton,74,2014,101109
193,Raymond Felton,74,2015,101109
203,Raymond Felton,74,2016,101109
206,Raymond Felton,74,2017,101109
221,Raymond Felton,75,2018,101109
217,Martell Webster,69,2012,101110
265,Martell Webster,68,2013,101110
235,Martell Webster,73,2014,101110
235,Martell Webster,73,2015,101110
233,Charlie Villanueva,68,2012,101111
265,Charlie Villanueva,68,2013,101111
328,Charlie Villanueva,69,2014,101111
328,Charlie Villanueva,69,2015,101111
251,Channing Frye,67,2012,101112
288,Channing Frye,67,2013,101112
137,Channing Frye,76,2014,101112
137,Channing Frye,76,2015,101112
203,Channing Frye,74,2016,101112
256,Channing Frye,73,2017,101112
261,Channing Frye,74,2018,101112
10,Deron Williams,90,2012,101114
12,Deron Williams,88,2013,101114
31,Deron Williams,84,2014,101114
31,Deron Williams,84,2015,101114
131,Deron Williams,76,2016,101114
206,Deron Williams,74,2017,101114
20,Andrew Bynum,86,2012,101115
19,Andrew Bynum,86,2013,101115
28,Danny Granger,84,2012,101122
65,Danny Granger,80,2013,101122
137,Danny Granger,76,2014,101122
137,Danny Granger,76,2015,101122
114,Gerald Green,75,2012,101123
235,Gerald Green,69,2013,101123
83,Gerald Green,78,2014,101123
83,Gerald Green,78,2015,101123
250,Gerald Green,73,2016,101123
314,Gerald Green,72,2017,101123
129,Gerald Green,77,2018,101123
165,Gerald Green,76,2019,101123
177,Gerald Green,76,2020,101123
282,Hakim Warrick,65,2012,101124
327,Hakim Warrick,65,2013,101124
88,Nate Robinson,77,2012,101126
56,Nate Robinson,81,2013,101126
137,Nate Robinson,76,2014,101126
137,Nate Robinson,76,2015,101126
65,Jarrett Jack,79,2012,101127
73,Jarrett Jack,79,2013,101127
193,Jarrett Jack,74,2014,101127
193,Jarrett Jack,74,2015,101127
203,Jarrett Jack,74,2016,101127
256,Jarrett Jack,73,2017,101127
332,Jarrett Jack,72,2018,101127
233,Francisco Garcia,68,2012,101128
265,Francisco Garcia,68,2013,101128
366,Johan Petro,54,2012,101130
179,Jason Maxiell,71,2012,101131
215,Jason Maxiell,70,2013,101131
307,Linas Kleiza,63,2012,101132
346,Linas Kleiza,64,2013,101132
179,Ian Mahinmi,71,2012,101133
196,Ian Mahinmi,71,2013,101133
165,Ian Mahinmi,75,2014,101133
165,Ian Mahinmi,75,2015,101133
131,Ian Mahinmi,76,2016,101133
206,Ian Mahinmi,74,2017,101133
261,Ian Mahinmi,74,2018,101133
274,Ian Mahinmi,73,2019,101133
268,Ian Mahinmi,74,2020,101133
40,David Lee,82,2012,101135
29,David Lee,84,2013,101135
44,David Lee,82,2014,101135
44,David Lee,82,2015,101135
203,David Lee,74,2016,101135
179,Brandon Bass,71,2012,101138
173,Brandon Bass,72,2013,101138
165,Brandon Bass,75,2014,101138
165,Brandon Bass,75,2015,101138
203,Brandon Bass,74,2016,101138
217,CJ Miles,69,2012,101139
265,CJ Miles,68,2013,101139
235,CJ Miles,73,2014,101139
235,CJ Miles,73,2015,101139
131,CJ Miles,76,2016,101139
143,CJ Miles,76,2017,101139
221,CJ Miles,75,2018,101139
274,CJ Miles,73,2019,101139
310,CJ Miles,73,2020,101139
114,Ersan Ilyasova,75,2012,101141
124,Ersan Ilyasova,75,2013,101141
235,Ersan Ilyasova,73,2014,101141
235,Ersan Ilyasova,73,2015,101141
171,Ersan Ilyasova,75,2016,101141
172,Ersan Ilyasova,75,2017,101141
129,Ersan Ilyasova,77,2018,101141
165,Ersan Ilyasova,76,2019,101141
177,Ersan Ilyasova,76,2020,101141
307,Ronny Turiaf,63,2012,101142
346,Ronny Turiaf,64,2013,101142
363,Ronny Turiaf,68,2014,101142
363,Ronny Turiaf,68,2015,101142
20,Monta Ellis,86,2012,101145
37,Monta Ellis,83,2013,101145
44,Monta Ellis,82,2014,101145
44,Monta Ellis,82,2015,101145
105,Monta Ellis,77,2016,101145
65,Lou Williams,79,2012,101150
88,Lou Williams,78,2013,101150
112,Lou Williams,77,2014,101150
112,Lou Williams,77,2015,101150
105,Lou Williams,77,2016,101150
51,Lou Williams,81,2017,101150
51,Lou Williams,82,2018,101150
50,Lou Williams,84,2019,101150
72,Lou Williams,81,2020,101150
145,Andray Blatche,74,2013,101154
327,Ryan Gomes,65,2013,101155
217,Amir Johnson,69,2012,101161
215,Amir Johnson,70,2013,101161
112,Amir Johnson,77,2014,101161
112,Amir Johnson,77,2015,101161
131,Amir Johnson,76,2016,101161
172,Amir Johnson,75,2017,101161
221,Amir Johnson,75,2018,101161
54,Marcin Gortat,80,2012,101162
56,Marcin Gortat,81,2013,101162
53,Marcin Gortat,81,2014,101162
53,Marcin Gortat,81,2015,101162
65,Marcin Gortat,79,2016,101162
92,Marcin Gortat,78,2017,101162
129,Marcin Gortat,77,2018,101162
282,Ronnie Price,65,2012,101179
327,Ronnie Price,65,2013,101179
328,Ronnie Price,69,2014,101179
328,Ronnie Price,69,2015,101179
378,Ronnie Price,69,2016,101179
408,Ronnie Price,69,2017,101179
114,Jose Calderon,75,2012,101181
124,Jose Calderon,75,2013,101181
83,Jose Calderon,78,2014,101181
83,Jose Calderon,78,2015,101181
203,Jose Calderon,74,2016,101181
357,Jose Calderon,71,2017,101181
300,Jose Calderon,73,2018,101181
444,Shavlik Randolph,64,2014,101183
444,Shavlik Randolph,64,2015,101183
215,Alan Anderson,70,2013,101187
286,Alan Anderson,71,2014,101187
286,Alan Anderson,71,2015,101187
378,Alan Anderson,69,2016,101187
198,Will Bynum,70,2012,101198
196,Will Bynum,71,2013,101198
310,Will Bynum,70,2014,101198
310,Will Bynum,70,2015,101198
156,Chuck Hayes,73,2012,101236
235,Chuck Hayes,69,2013,101236
328,Chuck Hayes,69,2014,101236
328,Chuck Hayes,69,2015,101236
114,Andrea Bargnani,75,2012,200745
215,Andrea Bargnani,70,2013,200745
254,Andrea Bargnani,72,2014,200745
254,Andrea Bargnani,72,2015,200745
20,LaMarcus Aldridge,86,2012,200746
19,LaMarcus Aldridge,86,2013,200746
10,LaMarcus Aldridge,88,2014,200746
10,LaMarcus Aldridge,88,2015,200746
15,LaMarcus Aldridge,88,2016,200746
38,LaMarcus Aldridge,85,2017,200746
21,LaMarcus Aldridge,88,2018,200746
21,LaMarcus Aldridge,87,2019,200746
45,LaMarcus Aldridge,84,2020,200746
168,Tyrus Thomas,72,2012,200748
288,Tyrus Thomas,67,2013,200748
54,Brandon Roy,80,2012,200750
179,Randy Foye,71,2012,200751
173,Randy Foye,72,2013,200751
193,Randy Foye,74,2014,200751
193,Randy Foye,74,2015,200751
321,Randy Foye,71,2016,200751
13,Rudy Gay,87,2012,200752
19,Rudy Gay,86,2013,200752
44,Rudy Gay,82,2014,200752
44,Rudy Gay,82,2015,200752
57,Rudy Gay,80,2016,200752
51,Rudy Gay,81,2017,200752
108,Rudy Gay,78,2018,200752
72,Rudy Gay,81,2019,200752
97,Rudy Gay,79,2020,200752
198,JJ Redick,70,2012,200755
173,JJ Redick,72,2013,200755
112,JJ Redick,77,2014,200755
112,JJ Redick,77,2015,200755
87,JJ Redick,78,2016,200755
78,JJ Redick,79,2017,200755
75,JJ Redick,79,2018,200755
81,JJ Redick,80,2019,200755
119,JJ Redick,78,2020,200755
217,Thabo Sefolosha,69,2012,200757
235,Thabo Sefolosha,69,2013,200757
193,Thabo Sefolosha,74,2014,200757
193,Thabo Sefolosha,74,2015,200757
171,Thabo Sefolosha,75,2016,200757
172,Thabo Sefolosha,75,2017,200757
167,Thabo Sefolosha,76,2018,200757
358,Thabo Sefolosha,72,2020,200757
139,Ronnie Brewer,74,2012,200758
161,Ronnie Brewer,73,2013,200758
344,Shawne Williams,59,2012,200761
433,Shawne Williams,59,2013,200761
10,Rajon Rondo,90,2012,200765
10,Rajon Rondo,89,2013,200765
18,Rajon Rondo,87,2014,200765
18,Rajon Rondo,87,2015,200765
48,Rajon Rondo,81,2016,200765
143,Rajon Rondo,76,2017,200765
75,Rajon Rondo,79,2018,200765
165,Rajon Rondo,76,2019,200765
177,Rajon Rondo,76,2020,200765
33,Kyle Lowry,83,2012,200768
47,Kyle Lowry,82,2013,200768
27,Kyle Lowry,85,2014,200768
27,Kyle Lowry,85,2015,200768
24,Kyle Lowry,86,2016,200768
25,Kyle Lowry,87,2017,200768
39,Kyle Lowry,85,2018,200768
40,Kyle Lowry,85,2019,200768
23,Kyle Lowry,87,2020,200768
